IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"13.42.84.163","*.theorgchart.com","","","","","*.theorgchart.com|theorgchart.com","","false"
"13.42.84.175","*.ec-one.co.uk","","","","","*.ec-one.co.uk|ec-one.co.uk","","false"
"13.42.84.177","*.super.one","","","","","*.super.one|super.one","","false"
"13.42.84.178","*.q0ags27ctltuu.eu-west-2.cs.amazonlightsail.com","","","","","*.q0ags27ctltuu.eu-west-2.cs.amazonlightsail.com","","false"
"13.42.84.179","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"13.42.84.186","logos-admin.nonprod.ortex.dev","","","","","logos-admin.nonprod.ortex.dev","","false"
"13.42.84.196","preprod-vccs-web.cleanairzone.defra.gov.uk","","","","","preprod-vccs-web.cleanairzone.defra.gov.uk|www.preprod-vccs-web.cleanairzone.defra.gov.uk","","false"
"13.42.84.200","argocd-prod.services.polcloud.org","","","","","argocd-prod.services.polcloud.org|argocd-int-prod.services.polcloud.org","","false"
"13.42.84.209","vpn.melodimedia.co.uk","","","","","vpn.melodimedia.co.uk","","false"
"13.42.84.213","*.kbehivsndiv6s.eu-west-2.cs.amazonlightsail.com","","","","","*.kbehivsndiv6s.eu-west-2.cs.amazonlightsail.com","","false"
"13.42.84.218","*.alfrescocloud.com","","","","","*.alfrescocloud.com","","false"
"13.42.84.122","mobileiron.corp.wrightfall.co.uk","","","","","mobileiron.corp.wrightfall.co.uk","","true"
"13.42.84.225","kube-apiserver","","","","","98ac7be379bdd13ba9b490aaa49b3098.gr7.eu-west-2.eks.amazonaws.com|ip-10-0-126-237.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|173.20.22.18|10.0.126.237","false"
"13.42.84.226","*.1nuufmn01elk6.eu-west-2.cs.lightsail.ec2.aws.dev","","","","","*.1nuufmn01elk6.eu-west-2.cs.lightsail.ec2.aws.dev","","false"
"13.42.84.234","*.dev.seatunique.tech","","","","","*.dev.seatunique.tech","","false"
"13.42.84.244","lads.cell-1.prod.eu-west-2.prod.connect.aws.a2z.com","","","","","lads.cell-1.prod.eu-west-2.prod.connect.aws.a2z.com|onebox.lads.cell-1.prod.eu-west-2.prod.connect.aws.a2z.com|az2.lads.cell-1.prod.eu-west-2.prod.connect.aws.a2z.com|az1.lads.cell-1.prod.eu-west-2.prod.connect.aws.a2z.com|preprod.lads.cell-1.prod.eu-west-2.prod.connect.aws.a2z.com|az3.lads.cell-1.prod.eu-west-2.prod.connect.aws.a2z.com","","false"
"13.42.84.252","bsc.compliance.poweredbyautomatedanalytics.co.uk","","","","","bsc.compliance.poweredbyautomatedanalytics.co.uk","","false"
"13.42.84.250","*.innervision.co.uk","","","","","*.innervision.co.uk|innervision.co.uk","","false"
"13.42.85.16","dflu.homeoffice.gov.uk","Home Office Drugs & Firearms Licensing Unit","GB","London","","dflu.homeoffice.gov.uk|www.dflu.homeoffice.gov.uk","","false"
"13.42.85.23","custom-control-plane.eu-west-2.prod.plato.ai.aws.dev","Amazon.com Inc.","US","Seattle","Washington","custom-control-plane.eu-west-2.prod.plato.ai.aws.dev|onebox.custom-control-plane.eu-west-2.prod.plato.ai.aws.dev","","false"
"13.42.85.28","dd-vpn.doubledelta.au","","","","","dd-vpn.doubledelta.au","","false"
"13.42.85.44","*.locumsnest.co.uk","","","","","*.locumsnest.co.uk","","false"
"13.42.85.64","*.eu-west-2.es.amazonaws.com","","","","","*.eu-west-2.es.amazonaws.com","","false"
"13.42.85.63","kube-apiserver","","","","","f03018dcea0113938101dc8bb6e28992.yl4.eu-west-2.eks.amazonaws.com|ip-172-16-175-187.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.156.70.160|172.16.175.187","false"
"13.42.85.71","*.eu-west-2.es.amazonaws.com","","","","","*.eu-west-2.es.amazonaws.com","","false"
"13.42.85.74","kube-apiserver","","","","","030f5bb843d72ec94fe31eacec8fd7a3.gr7.eu-west-2.eks.amazonaws.com|ip-10-0-60-76.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.1.7.228|10.0.60.76","false"
"13.42.85.75","privatebloodtesting.com","","","","","privatebloodtesting.com|*.api.privatebloodtesting.com|*.privatebloodtesting.com","","false"
"13.42.85.84","aqilla.net","","","","","aqilla.net|*.aqilla.net","","false"
"13.42.85.90","*.c6.eu-west-2.airflow.amazonaws.com","","","","","*.c6.eu-west-2.airflow.amazonaws.com","","false"
"13.42.85.99","non-public-dev.ukhsa-dashboard.data.gov.uk","","","","","non-public-dev.ukhsa-dashboard.data.gov.uk|*.non-public-dev.ukhsa-dashboard.data.gov.uk","","false"
"13.42.85.100","kube-apiserver","","","","","87f1323a9fe3784f5accde9570aecaf8.yl4.eu-west-2.eks.amazonaws.com|ip-172-16-59-242.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|172.32.135.90|172.16.59.242","false"
"13.42.85.98","cyber-spacial.com","","","","","*.cyber-spacial.com|cyber-spacial.com","","false"
"13.42.85.106","gatheriq.fgenexanteca.com","","","","","gatheriq.fgenexanteca.com","","false"
"13.42.85.126","*.gt2e9mebv55tm.eu-west-2.cs.amazonlightsail.com","","","","","*.gt2e9mebv55tm.eu-west-2.cs.amazonlightsail.com","","false"
"13.42.85.130","*.myyouthvoice.co.uk","","","","","*.myyouthvoice.co.uk","","false"
"13.42.85.131","*.c9.eu-west-2.airflow.amazonaws.com","","","","","*.c9.eu-west-2.airflow.amazonaws.com","","false"
"13.42.85.141","quality-basics.ideagenhome.com","","","","","quality-basics.ideagenhome.com|*.quality-essentials.ideagenhome.com|quality-essentials.ideagenhome.com|*.quality-basics.ideagenhome.com|*.quality-basics-api.ideagenhome.com|quality-basics-api.ideagenhome.com","","false"
"13.42.85.147","*.elb.amazonaws.com","OrthoView Demo","","","","*.elb.amazonaws.com|*.eu-west-2.elb.amazonaws.com|demo.orthoview.net","","true"
"13.42.85.160","TRAEFIK DEFAULT CERT","","","","","c4f73762cbbd703e6a72df07d0e2eedc.3a959b53e7ea26d217dcb3ec8f93eb4a.traefik.default","","true"
"13.42.85.193","www.jkc-solutions.com","","","","","jkc-solutions.com|www.jkc-solutions.com","","false"
"13.42.85.211","*.testemisnightingale.co.uk","","","","","*.testemisnightingale.co.uk","","false"
"13.42.85.213","southamptonsolent-festive-fermi-levax6q.cribl.cloud","","","","","southamptonsolent-festive-fermi-levax6q.cribl.cloud|default.southamptonsolent.festive-fermi-levax6q.cribl.cloud|in.southamptonsolent-default-festive-fermi-levax6q.cribl.cloud|*.southamptonsolent.festive-fermi-levax6q.cribl.cloud","","false"
"13.42.85.214","kube-apiserver","","","","","3ff6b0f7d9791a3064e45a215af61894.gr7.eu-west-2.eks.amazonaws.com|ip-172-16-103-213.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.156.160.104|172.16.103.213","false"
"13.42.85.215","*.ssmgf.eu3.inforcloudsuite.com","","","","","*.ssmgf.eu3.inforcloudsuite.com","","false"
"13.42.85.218","*.jsr9exch.com","","","","","*.jsr9exch.com","","false"
"13.42.85.223","dev.txcore.globecastcloud.com","","","","","dev.txcore.globecastcloud.com","","false"
"13.42.85.224","auto-ops.eu-west-2.aws.cloud.elastic.co","","","","","auto-ops.eu-west-2.aws.cloud.elastic.co|*.auto-ops.eu-west-2.aws.cloud.elastic.co","","false"
"13.42.85.242","*.eu-west-2.es.amazonaws.com","","","","","*.eu-west-2.es.amazonaws.com","","false"
"13.42.85.251","kube-apiserver","","","","","06bccc993137069d6d38b80ecd2d0cf8.gr7.eu-west-2.eks.amazonaws.com|ip-172-16-58-81.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.176.109|172.16.58.81","false"
"13.42.85.252","*.eu-west-2.es.amazonaws.com","","","","","*.eu-west-2.es.amazonaws.com","","false"
"13.42.85.254","*.integrate.gb.boomi.com","","","","","*.integrate.gb.boomi.com|integrate.gb.boomi.com","","false"
"13.42.85.234","*.uk.talon-sec.com","","","","","*.uk.talon-sec.com","","false"
"13.42.86.19","www.example.com","Bitnami","","","","","","true"
"13.42.86.29","*.zumo.money","","","","","*.zumo.money","","false"
"13.42.86.35","dummy","Internet Widgits Pty Ltd","AU","","Some-State","","","true"
"13.42.86.41","myportal.loomis.co.uk","","","","","myportal.loomis.co.uk|portalapi.loomis.co.uk|adminportal.loomis.co.uk","","false"
"13.42.86.43","*.schoolhire.co.uk","","","","","*.schoolhire.co.uk|schoolhire.co.uk","","false"
"13.42.86.45","redresscofe.org","","","","","redresscofe.org","","false"
"13.42.86.49","*.eu-west-2.es.amazonaws.com","","","","","*.eu-west-2.es.amazonaws.com","","false"
"13.42.86.51","*.portal.viprsolutions.com","","","","","*.portal.viprsolutions.com","","false"
"13.42.86.53","lms.wellcomeconnectingscience.org","","","","","lms.wellcomeconnectingscience.org","","false"
"13.42.86.57","example.com","","","","","example.com|www.example.com","127.0.0.1","true"
"13.42.86.77","enl.api.stag.scorchsoft.dev","","","","","enl.api.stag.scorchsoft.dev","","false"
"13.42.86.87","*.webiouk.com","","","","","*.webiouk.com","","false"
"13.42.86.96","licencing.oxts.com","","","","","licencing.oxts.com","","false"
"13.42.86.101","ukraves.co.uk","","","","","ukraves.co.uk|www.ukraves.co.uk","","false"
"13.42.86.108","*.test.bpptechnology.com","","","","","*.test.bpptechnology.com","","false"
"13.42.86.114","gateway.kantan.co.uk","","","","","gateway.kantan.co.uk","","false"
"13.42.86.124","healthtracka.com","","","","","healthtracka.com|www.healthtracka.com","","false"
"13.42.86.130","mod-sit.woo.infopoly.com","","","","","mod-sit.woo.infopoly.com","","false"
"13.42.86.128","kube-apiserver","","","","","b62eaadffe60e20d6219f5aa6c29ca4e.gr7.eu-west-2.eks.amazonaws.com|ip-10-0-110-128.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.16.204.7|10.0.110.128","false"
"13.42.86.136","kube-apiserver","","","","","d830b1911087f38d776e7f1caaf80586.gr7.eu-west-2.eks.amazonaws.com|ip-172-16-110-166.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.1.38|172.16.110.166","false"
"13.42.86.147","*.k8s-prd-london.redacreltd.com","","","","","*.k8s-prd-london.redacreltd.com","","false"
"13.42.86.157","rel.manage-emissions-reporting.service.gov.uk","","","","","rel.manage-emissions-reporting.service.gov.uk","","false"
"13.42.86.160","careparking.atriahub.co.uk","","","","","careparking.atriahub.co.uk|careparkingpay.iview.co.uk|careparking.iview.co.uk|careparkingsecure.iview.co.uk|careparkingivr.iview.co.uk","","false"
"13.42.86.173","*.niit-learningservices.com","","","","","*.niit-learningservices.com","","false"
"13.42.86.182","n78v74.platform.grcv.io","","","","","n78v74.platform.grcv.io|*.n78v74.platform.grcv.io","","false"
"13.42.86.185","sbr-sandbox.aws.onsdigital.uk","","","","","sbr-sandbox.aws.onsdigital.uk","","false"
"13.42.86.184","CloudFlare Origin Certificate","CloudFlare, Inc.","","","","*.response-uat.securityhq.com","","false"
"13.42.86.199","colp-worker-a.evm.online","","","","","colp-worker-a.evm.online","","false"
"13.42.86.201","*.evm.online","","","","","*.evm.online","","false"
"13.42.86.210","20xapp.com","","","","","20xapp.com|*.20xapp.com","","false"
"13.42.86.212","*.randlottery.com","","","","","*.randlottery.com|randlottery.com","","false"
"13.42.86.218","fms.staging.gigaclear.net","","","","","fms.staging.gigaclear.net|*.fms.staging.gigaclear.net","","false"
"13.42.86.230","*.eu-west-2.es.amazonaws.com","","","","","*.eu-west-2.es.amazonaws.com","","false"
"13.42.86.229","*.aviva-test.ice-hosting.cloud","","","","","*.aviva-test.ice-hosting.cloud","","false"
"13.42.86.237","*.eu-west-2.1770883133qgev.dp.deliveryhero.io","","","","","*.eu-west-2.1770883133qgev.dp.deliveryhero.io","","false"
"13.42.86.236","*.platform.physicsx.ai","","","","","*.platform.physicsx.ai","","false"
"13.42.86.242","mythirteen.co.uk","","","","","mythirteen.co.uk|www.mythirteen.co.uk","","false"
"13.42.86.246","firstonscene.co.uk","","","","","firstonscene.co.uk|calc.firstonscene.co.uk|www.firstonscene.co.uk","","false"
"13.42.86.239","apis.tsb.co.uk","TSB Bank Plc","GB","Edinburgh","","apis.tsb.co.uk","","false"
"13.42.87.4","*.eu-west-2.es.amazonaws.com","","","","","*.eu-west-2.es.amazonaws.com","","false"
"13.42.87.18","qupa.co.uk","","","","","qupa.co.uk|www.qupa.co.uk","","false"
"13.42.87.29","www.voodoo.co.uk","","","","","www.voodoo.co.uk|voodoo.co.uk","","false"
"13.42.87.34","tecsrealtimemonitor.com","","","","","tecsrealtimemonitor.com|www.tecsrealtimemonitor.com","","false"
"13.42.87.36","kube-apiserver","","","","","eb07e4e84b9db8f9c61b99d3ae3af047.gr7.eu-west-2.eks.amazonaws.com|ip-172-16-39-131.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.3.15.75|172.16.39.131","false"
"13.42.87.42","*.wpengine.com","","","","","*.wpengine.com|wpengine.com","","false"
"13.42.87.52","nonprodsvc.com","","","","","nonprodsvc.com|*.nonprodsvc.com|*.development.nonprodsvc.com","","false"
"13.42.87.51","connect-uat.unipart.com","","","","","connect-uat.unipart.com","","false"
"13.42.87.68","kube-apiserver","","","","","0d396a9c4e37d289e5300da951521e64.gr7.eu-west-2.eks.amazonaws.com|ip-172-16-126-193.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.81.3.192|172.16.126.193","false"
"13.42.87.72","*.saivalentine.com","","","","","saivalentine.com|*.saivalentine.com","","false"
"13.42.87.79","www.hlbbolivia.com","","","","","hlbbolivia.com|www.hlbbolivia.com","","false"
"13.42.87.88","*.captricity.com","","","","","*.captricity.com|captricity.com","","false"
"13.42.87.93","kube-apiserver","","","","","bb0c89cda7f93c2ea48f61262d67fc8d.yl4.eu-west-2.eks.amazonaws.com|ip-172-16-121-130.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.0.21|172.16.121.130","false"
"13.42.87.92","*.saas.verinthms.com","","","","","*.saas.verinthms.com","","false"
"13.42.87.103","az1.lhr55.lhr.dppushcalc.prod.aws.doctor.route-53.aws.dev","","","","","az1.lhr55.lhr.dppushcalc.prod.aws.doctor.route-53.aws.dev","","false"
"13.42.87.94","kube-apiserver","","","","","5e2938875ea62b5fff88fde438638e33.gr7.eu-west-2.eks.amazonaws.com|ip-10-0-175-101.eu-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|100.80.233.255|10.0.175.101","false"
"13.42.87.102","uat.gsr.accp-capita.com","","","","","uat.gsr.accp-capita.com","","false"
