IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"18.252.4.145","*.prod.waf-dataplane-us-gov-east-1.com","Amazon.com Inc.","US","Seattle","Washington","*.prod.waf-dataplane-us-gov-east-1.com|*.osu60.prod.waf-dataplane-us-gov-east-1.com|*.osu61.prod.waf-dataplane-us-gov-east-1.com|*.osu62.prod.waf-dataplane-us-gov-east-1.com","","false"
"18.252.5.133","dev.seabed.systems","","","","","dev.seabed.systems","","false"
"18.252.6.122","signal.z3.ge1.m.chime.aws","","","","","signal.z3.ge1.m.chime.aws","","false"
"18.252.5.221","kube-apiserver","","","","","55cb1262f09c1ffb6638e34c2cb5fe90.gr7.us-gov-east-1.eks.amazonaws.com|ip-172-16-38-90.us-gov-east-1.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.96.50.230|172.16.38.90","false"
"18.252.6.106","pulsar-e2e.nlb","","","","","","","true"
"18.252.5.136","llds.prod.us-gov-east-1.ml-platform.aws.a2z.com","","","","","llds.prod.us-gov-east-1.ml-platform.aws.a2z.com|looseleafdataservice.prod.us-gov-east-1.ml-platform.aws.a2z.com","","false"
"18.252.6.207","pulsar-e2e.nlb","","","","","","","true"
"18.252.5.239","prod.us-gov-east-1.cloudhsmproxy.midway.aws.a2z.com","","","","","prod.us-gov-east-1.cloudhsmproxy.midway.aws.a2z.com","","false"
"18.252.5.150","*.iot.us-gov-east-1.amazonaws.com","","","","","*.iot.us-gov-east-1.amazonaws.com","","false"
"18.252.4.171","*.prod.waf-dataplane-us-gov-east-1.com","Amazon.com Inc.","US","Seattle","Washington","*.prod.waf-dataplane-us-gov-east-1.com|*.osu60.prod.waf-dataplane-us-gov-east-1.com|*.osu61.prod.waf-dataplane-us-gov-east-1.com|*.osu62.prod.waf-dataplane-us-gov-east-1.com","","false"
"18.252.5.145","www.ocwr.gov","Office of Congressional Workplace Rights","US","Washington","District of Columbia","www.ocwr.gov|staging.ocwr.gov|ocwr.gov","","false"
"18.252.4.195","*.prod.waf-dataplane-us-gov-east-1.com","Amazon.com Inc.","US","Seattle","Washington","*.prod.waf-dataplane-us-gov-east-1.com|*.osu60.prod.waf-dataplane-us-gov-east-1.com|*.osu61.prod.waf-dataplane-us-gov-east-1.com|*.osu62.prod.waf-dataplane-us-gov-east-1.com","","false"
"18.252.5.116","zeppelin-gamma.us-gov-east-1.amazonaws.com","","","","","*.zeppelin-gamma.us-gov-east-1.vpce.amazonaws.com|zeppelin-gamma.us-gov-east-1.amazonaws.com|zeppelin-gamma.us-gov-east-1.api.aws","","false"
"18.252.4.131","*.prod.waf-dataplane-us-gov-east-1.com","Amazon.com Inc.","US","Seattle","Washington","*.prod.waf-dataplane-us-gov-east-1.com|*.osu60.prod.waf-dataplane-us-gov-east-1.com|*.osu61.prod.waf-dataplane-us-gov-east-1.com|*.osu62.prod.waf-dataplane-us-gov-east-1.com","","false"
"18.252.5.204","auth.govcloud.ubicquia.com","","","","","auth.govcloud.ubicquia.com","","false"
"18.252.5.167","entityservice.prod.us-gov-east-1.ml-platform.aws.a2z.com","","","","","entityservice.prod.us-gov-east-1.ml-platform.aws.a2z.com","","false"
"18.252.5.195","glue.us-gov-east-1.amazonaws.com","","","","","glue.us-gov-east-1.amazonaws.com","","false"
"18.252.5.164","*.us-gov-east-1.es.amazonaws.com","","","","","*.us-gov-east-1.es.amazonaws.com","","false"
"18.252.4.169","*.prod.waf-dataplane-us-gov-east-1.com","Amazon.com Inc.","US","Seattle","Washington","*.prod.waf-dataplane-us-gov-east-1.com|*.osu60.prod.waf-dataplane-us-gov-east-1.com|*.osu61.prod.waf-dataplane-us-gov-east-1.com|*.osu62.prod.waf-dataplane-us-gov-east-1.com","","false"
"18.252.6.74","host-02a916f464578fe36","","","","","","","false"
"18.252.5.113","p-projo.yellogov.com","","","","","p-projo.yellogov.com|qa.yellogov.com|devops.yellogov.com","","false"
"18.252.4.155","*.prod.waf-dataplane-us-gov-east-1.com","Amazon.com Inc.","US","Seattle","Washington","*.prod.waf-dataplane-us-gov-east-1.com|*.osu60.prod.waf-dataplane-us-gov-east-1.com|*.osu61.prod.waf-dataplane-us-gov-east-1.com|*.osu62.prod.waf-dataplane-us-gov-east-1.com","","false"
