IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"98.81.119.143","849914-adoring-galileo-sjdxlz9.cribl.cloud","","","","","849914-adoring-galileo-sjdxlz9.cribl.cloud|default.849914.adoring-galileo-sjdxlz9.cribl.cloud|in.849914-default-adoring-galileo-sjdxlz9.cribl.cloud|*.849914.adoring-galileo-sjdxlz9.cribl.cloud","","false"
"98.81.119.145","*.unifyia.net","","","","","*.unifyia.net","","false"
"98.81.119.162","budgetrapp.com","","","","","budgetrapp.com|www.budgetrapp.com","","false"
"98.81.119.192","","","","","","","","null"
"98.81.119.189","platypus.solutions","","","","","platypus.solutions|www.platypus.solutions","","false"
"98.81.119.227","api.lexvaro.in","","","","","api.lexvaro.in","","false"
"98.81.119.240","*.download-us-east-1.prod.phoenix.devices.amazon.dev","","","","","*.download-us-east-1.prod.phoenix.devices.amazon.dev|download-us-east-1.prod.phoenix.devices.amazon.dev","","false"
"98.81.120.23","store.logops.xyz","","","","","store.logops.xyz","","false"
"98.81.120.176","connect.evercars.com","","","","","connect.evercars.com","","false"
"98.81.121.107","us-east-1.prod.sip-edge.amc.amazon.dev","Amazon.com Inc.","US","Seattle","Washington","us-east-1.onebox.sip-edge.amc.amazon.dev|us-east-1.prod.sip-edge.amc.amazon.dev|wave-1.us-east-1.prod.sip-edge.amc.amazon.dev|wave-2.us-east-1.prod.sip-edge.amc.amazon.dev|eu-north-1.onebox.sip-edge.amc.amazon.dev|eu-north-1.prod.sip-edge.amc.amazon.dev|wave-1.eu-north-1.prod.sip-edge.amc.amazon.dev|wave-2.eu-north-1.prod.sip-edge.amc.amazon.dev|ap-northeast-1.onebox.sip-edge.amc.amazon.dev|ap-northeast-1.prod.sip-edge.amc.amazon.dev|wave-1.ap-northeast-1.prod.sip-edge.amc.amazon.dev|wave-2.ap-northeast-1.prod.sip-edge.amc.amazon.dev","","false"
"98.81.121.198","*.arc-recovery-cluster.us-east-1.on.aws","","","","","*.arc-recovery-cluster.us-east-1.on.aws|*.us-east-1.cluster.meridian.amazonaws.com|*.route53-recovery-cluster.us-east-1.amazonaws.com","","false"
"98.81.121.220","*.comcash.com","Comcash Inc.","US","Irvine","California","*.comcash.com|comcash.com","","false"
"98.81.122.8","*.arc-recovery-cluster.us-east-1.on.aws","","","","","*.arc-recovery-cluster.us-east-1.on.aws|*.us-east-1.cluster.meridian.amazonaws.com|*.route53-recovery-cluster.us-east-1.amazonaws.com","","false"
"98.81.122.13","demo-fbdmwt.securitytrust.center","","","","","demo-fbdmwt.securitytrust.center","","false"
"98.81.122.14","PythonAnywhere","PythonAnywhere LLP","GB","London","Some-State","","","true"
"98.81.122.33","staging.safepickup.app","","","","","staging.safepickup.app|ws.staging.safepickup.app","","false"
"98.81.122.137","*.arc-recovery-cluster.us-east-1.on.aws","","","","","*.arc-recovery-cluster.us-east-1.on.aws|*.us-east-1.cluster.meridian.amazonaws.com|*.route53-recovery-cluster.us-east-1.amazonaws.com","","false"
"98.81.122.144","*.arc-recovery-cluster.us-east-1.on.aws","","","","","*.arc-recovery-cluster.us-east-1.on.aws|*.us-east-1.cluster.meridian.amazonaws.com|*.route53-recovery-cluster.us-east-1.amazonaws.com","","false"
"98.81.122.145","*.arc-recovery-cluster.us-east-1.on.aws","","","","","*.arc-recovery-cluster.us-east-1.on.aws|*.us-east-1.cluster.meridian.amazonaws.com|*.route53-recovery-cluster.us-east-1.amazonaws.com","","false"
"98.81.122.223","*.veloxity.dev","","","","","*.veloxity.dev","","false"
"98.81.122.224","*.arc-recovery-cluster.us-east-1.on.aws","","","","","*.arc-recovery-cluster.us-east-1.on.aws|*.us-east-1.cluster.meridian.amazonaws.com|*.route53-recovery-cluster.us-east-1.amazonaws.com","","false"
"98.81.122.232","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"98.81.123.60","deodbalancer.decentrawood.com","","","","","deodbalancer.decentrawood.com","","false"
"98.81.123.107","*.plumslice.com","Digital Wave Technology, Inc.","US","ponte vedra beach","Florida","*.plumslice.com|plumslice.com","","false"
"98.81.123.155","ip-172-31-17-213.ec2.internal","","","","","","","true"
"98.81.123.193","example.com","test","US","Seattle","WA","","","true"
"98.81.123.218","ip-172-31-24-207.ec2.internal","Unspecified","US","","","ip-172-31-24-207.ec2.internal","","false"
"98.81.123.237","9hwso8m4lygkymxgvmn2d4dosvp60io0.bftvdev.com","","","","","9hwso8m4lygkymxgvmn2d4dosvp60io0.bftvdev.com","","false"
"98.81.123.255","pimsapi.mygotodoc.com","","","","","pimsapi.mygotodoc.com","","false"
"98.81.124.20","weave-home-preprod-us.appicidea.com","","","","","weave-home-preprod-us.appicidea.com","","false"
"98.81.124.31","*.arc-recovery-cluster.us-east-1.on.aws","","","","","*.arc-recovery-cluster.us-east-1.on.aws|*.us-east-1.cluster.meridian.amazonaws.com|*.route53-recovery-cluster.us-east-1.amazonaws.com","","false"
"98.81.124.96","*.bookthatapp-d3d3.staging.c66.me","","","","","*.bookthatapp-d3d3.staging.c66.me|bookthatapp-d3d3.staging.c66.me","","false"
"98.81.124.160","example.com","","","","","example.com|www.example.com","127.0.0.1","true"
"98.81.124.165","dispatch-report.automations-cc.com","","","","","dispatch-report.automations-cc.com","","false"
"98.81.124.186","*.arc-recovery-cluster.us-east-1.on.aws","","","","","*.arc-recovery-cluster.us-east-1.on.aws|*.us-east-1.cluster.meridian.amazonaws.com|*.route53-recovery-cluster.us-east-1.amazonaws.com","","false"
"98.81.124.249","*.reservo.cl","","","","","*.reservo.cl|reservo.cl","","false"
"98.81.125.8","localhost","","XX","","","localhost","","true"
"98.81.125.14","ip-10-0-0-99.ec2.internal","Unspecified","US","","","ip-10-0-0-99.ec2.internal","","false"
"98.81.126.10","nvts.co","","","","","nvts.co|www.nvts.co","","false"
