IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"108.137.159.158","kube-apiserver","","","","","a6e991cf43ea319a39264e64afabed83.sk1.gamma.ap-southeast-3.clusters.wesley.amazonaws.com|ip-172-16-38-208.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","fd07:2216:d2c5::1|2406:da19:d15:5603:b70e:2b36:a296:957d|172.16.38.208","false"
"108.137.159.170","parker","videoarch.rtc.parker","ZG","BJC","BJP","","108.137.159.170","false"
"108.137.159.192","*.upbanx.net","","","","","*.upbanx.net|upbanx.net","","false"
"108.137.159.218","kube-apiserver","","","","","12957e7e620d5de01350105650a729e5.gr7.ap-southeast-3.eks.amazonaws.com|ip-172-16-96-231.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.134.115.48|172.16.96.231","false"
"108.137.159.223","ease.preprod.ap-southeast-3.ml-platform.aws.a2z.com","","","","","ease.preprod.ap-southeast-3.ml-platform.aws.a2z.com","","false"
"108.137.159.235","*.sig.id","PT Sinergi Informatika Semen Indonesia","ID","Jakarta Selatan","","*.sig.id|sig.id","","false"
"108.137.159.241","*.ap-southeast-3.es.amazonaws.com","","","","","*.ap-southeast-3.es.amazonaws.com","","false"
"108.137.159.250","*.myboost.id","","","","","*.boost.id|*.myboost.id","","false"
"108.137.159.254","api.personal.ximply.io","","","","","api.personal.ximply.io","","false"
"108.137.160.2","3dsgpn.jalin.co.id","PT Jalin","ID","Jakarta Selatan","Jakarta","","","false"
"108.137.160.4","kube-apiserver","","","","","5ca7cab2dcecdb5180561280dd2424d0.sk1.gamma.ap-southeast-3.clusters.wesley.amazonaws.com|ip-172-16-100-97.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.107.43|172.16.100.97","false"
"108.137.160.9","kube-apiserver","","","","","62e38d11622dadc2b622b1df7588e730.sk1.ap-southeast-3.eks.amazonaws.com|ip-10-0-160-219.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.31.39.179|10.0.160.219","false"
"108.137.160.24","dev.budiman.io","","","","","dev.budiman.io","","false"
"108.137.160.26","kube-apiserver","","","","","e903e1bb9507cb1be9aface65096c8a7.yl4.ap-southeast-3.eks.amazonaws.com|ip-172-16-50-77.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.132.161|172.16.50.77","false"
"108.137.160.38","mc.dilithium.ap-southeast-3.amazonaws.com","","","","","mc.dilithium.ap-southeast-3.amazonaws.com","","false"
"108.137.160.43","prokonstruksi.co.id","","","","","prokonstruksi.co.id|*.prokonstruksi.co.id","","false"
"108.137.160.44","devmapi.idealindonesia.com","","","","","devmapi.idealindonesia.com","","false"
"108.137.160.47","agtester.pay24u.com","","","","","agtester.pay24u.com","","false"
"108.137.160.48","www.ideal.id","","","","","www.ideal.id","","false"
"108.137.160.50","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"108.137.160.60","kube-apiserver","","","","","227718990a93fda6efd2b3e7df24e806.gr7.ap-southeast-3.eks.amazonaws.com|ip-10-0-52-161.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.21.8.174|10.0.52.161","false"
"108.137.160.64","smbatch.preprod.ap-southeast-3.ml-platform.aws.a2z.com","","","","","smbatch.preprod.ap-southeast-3.ml-platform.aws.a2z.com","","false"
"108.137.160.68","*.travelokapay.com","","","","","*.travelokapay.com","","false"
"108.137.160.87","xendit.co","","","","","xendit.co|tidnex.com|*.xendit.co|*.tidnex.com|*.ap-southeast-3.tidnex.com","","false"
"108.137.160.95","authenticationservicedev.octoid.be","","","","","authenticationservicedev.octoid.be","","false"
"108.137.160.107","stage.pvg.im","","","","","stage.pvg.im|*.stage.pvg.im","","false"
"108.137.160.111","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"108.137.160.116","*.execute-api.ap-southeast-3.amazonaws.com","","","","","*.execute-api.ap-southeast-3.amazonaws.com","","false"
"108.137.160.119","*.dkr.ecr.ap-southeast-3.amazonaws.com","","","","","*.dkr.ecr.ap-southeast-3.vpce.amazonaws.com.amazonaws.com|*.dkr.ecr.ap-southeast-3.amazonaws.com","","false"
"108.137.160.120","*.ap-southeast-3.es.amazonaws.com","","","","","*.ap-southeast-3.es.amazonaws.com","","false"
"108.137.160.122","sendplus.co.id","","","","","sendplus.co.id|*.sendplus.co.id","","false"
"108.137.160.139","gamma.ap-southeast-3.r.cs.rds.a2z.com","","","","","gamma.ap-southeast-3.r.cs.rds.a2z.com","","false"
"108.137.160.158","*.claimgenius.com","","","","","*.claimgenius.com","","false"
"108.137.160.165","ap-southeast-3.gamma.templateservice.cloudformation.aws.dev","","","","","ap-southeast-3.gamma.templateservice.cloudformation.aws.dev","","false"
"108.137.160.189","*.ap-southeast-3.es.amazonaws.com","","","","","*.ap-southeast-3.es.amazonaws.com","","false"
"108.137.160.198","*.arttha-linkaja.com","","","","","*.arttha-linkaja.com","","false"
"108.137.160.206","kube-apiserver","","","","","357eee7e20080c85021e4ba30a019762.sk1.ap-southeast-3.eks.amazonaws.com|ip-10-0-174-140.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.172.241|10.0.174.140","false"
"108.137.160.232","*.apse-3-https-canary.waf.aws.dev","","","","","*.apse-3-https-canary.waf.aws.dev","","false"
"108.137.160.237","*.messaging.solace.cloud","Solace Corporation","CA","Kanata","Ontario","*.messaging.solace.cloud","","false"
"108.137.160.242","dispatcher-pod02.ap-southeast-3.prod.pipe.eventbridge.aws.dev","Amazon.com Inc.","US","Seattle","Washington","dispatcher-pod02.ap-southeast-3.prod.pipe.eventbridge.aws.dev","","false"
"108.137.161.3","ip-10-0-169-4.ap-southeast-3.compute.internal","Amazon.com Svcs","","","","","","true"
"108.137.161.6","admin.dev2.belanjaparts.com","","","","","admin.dev2.belanjaparts.com","","false"
"108.137.161.23","kube-apiserver","","","","","96b4869e94c236f6922960621e4f99ac.gr7.ap-southeast-3.eks.amazonaws.com|ip-10-0-55-58.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.251.18.12|10.0.55.58","false"
"108.137.161.46","kube-apiserver","","","","","01d51ef00896b5ce5c15db8c80908bb7.yl4.ap-southeast-3.eks.amazonaws.com|ip-172-16-178-147.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.60.167|172.16.178.147","false"
"108.137.161.47","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"108.137.161.55","*.uinsa.ac.id","","","","","*.uinsa.ac.id|uinsa.ac.id","","false"
"108.137.161.58","kube-apiserver","","","","","9cc0b95ecd68b830201574499a2f83ad.sk1.gamma.ap-southeast-3.clusters.wesley.amazonaws.com|ip-172-16-106-1.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.74.106|172.16.106.1","false"
"108.137.161.65","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"108.137.161.79","btwedutech.com","","","","","btwedutech.com|www.btwedutech.com","","false"
"108.137.161.81","z-creators.id","","","","","z-creators.id|*.z-creators.id","","false"
"108.137.161.85","erp.beneva-investama.com","","","","","erp.beneva-investama.com","","false"
"108.137.161.87","globalindofinance.co.id","","","","","globalindofinance.co.id|*.globalindofinance.co.id","","false"
"108.137.161.57","*.soluix.ai","","","","","*.soluix.ai|soluix.ai","","false"
"108.137.161.117","kube-apiserver","","","","","1174197c1b412bfbe9da760c1c2f5911.yl4.ap-southeast-3.eks.amazonaws.com|ip-172-16-48-204.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.146.112|172.16.48.204","false"
"108.137.161.138","www.iaskills.org","","","","","www.iaskills.org|cms.iaskills.org|www.cms.iaskills.org|iaskills.org","","false"
"108.137.161.196","kube-apiserver","","","","","77d6a9e7b2a46d4f51f04d16bbbcc245.gr7.ap-southeast-3.eks.amazonaws.com|ip-172-16-38-194.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.155.241|172.16.38.194","false"
"108.137.161.197","*.bayargw.com","","","","","*.bayargw.com|bayargw.com","","false"
"108.137.161.208","dev.etourist.co.id","","","","","dev.etourist.co.id|*.dev.etourist.co.id","","false"
"108.137.161.207","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
"108.137.161.217","*.cleanmedic.co.id","","","","","*.cleanmedic.co.id|cleanmedic.co.id","","false"
"108.137.161.221","www.elbnefario.com","","","","","www.elbnefario.com","","true"
"108.137.161.237","kube-apiserver","","","","","13f8665f6e326c4f354891f95c17cdad.sk1.ap-southeast-3.eks.amazonaws.com|ip-172-16-119-55.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.169.205|172.16.119.55","false"
"108.137.162.2","*.mile.app","","","","","*.mile.app|mile.app","","false"
"108.137.162.23","kube-apiserver","","","","","19aa9eaffde80699b4cc18b0d6b97245.sk1.ap-southeast-3.eks.amazonaws.com|ip-172-16-113-63.ap-southeast-3.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.83.25|172.16.113.63","false"
"108.137.162.25","*.lokasi.com","PT Bhumi Varta Technology","ID","Tangerang Regency","","*.lokasi.com|lokasi.com","","false"
"108.137.162.33","CloudFlare Origin Certificate","CloudFlare, Inc.","","","","*.mobee.io|mobee.io","","false"
"108.137.162.30","xlaxiata.id","","","","","xlaxiata.id|*.xlaxiata.id","","false"
"108.137.162.32","*.smile-training.id","","","","","*.smile-training.id|*.smile-indonesia.id","","false"
"108.137.162.36","prod01.optimus.tech","","","","","prod01.optimus.tech|www.prod01.optimus.tech","","false"
"108.137.162.61","glue.ap-southeast-3.amazonaws.com","","","","","glue.ap-southeast-3.amazonaws.com","","false"
"108.137.162.65","Kubernetes Ingress Controller Fake Certificate","Acme Co","","","","ingress.local","","true"
