IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"13.218.7.226","*.imedidata.net","Medidata Solutions, Inc.","US","New York","New York","*.imedidata.net|imedidata.net","","false"
"13.218.7.228","*.api.origin.aws.arc.pub","","","","","*.api.origin.aws.arc.pub","","false"
"13.218.7.236","*.911786175534.gateway.rtbfabric.us-east-1.amazonaws.com","","","","","*.911786175534.gateway.rtbfabric.us-east-1.amazonaws.com|*.911786175534.us-east-1.dataplane.rtb.mpofxdevmu.aws.dev","","false"
"13.218.7.244","workforcenow-uat.cloud.adp.com","Automatic Data Processing, Inc.","US","Roseland","New Jersey","workforcenow-uat.cloud.adp.com","","false"
"13.218.8.3","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com","","false"
"13.218.8.13","stage.topstep.com","","","","","stage.topstep.com|*.stage.topstep.com","","false"
"13.218.7.176","d089.stage.vpn.sse.cisco.com","Cisco Systems Inc.","US","San Jose","California","z-a.ctim.cisco.com|d089.stage.vpn.sse.cisco.com|fc025-d089.stage.vpn.sse.cisco.com|fc026-d089.stage.vpn.sse.cisco.com|fc027-d089.stage.vpn.sse.cisco.com|fc028-d089.stage.vpn.sse.cisco.com|fc029-d089.stage.vpn.sse.cisco.com|fc030-d089.stage.vpn.sse.cisco.com|fc031-d089.stage.vpn.sse.cisco.com|fc032-d089.stage.vpn.sse.cisco.com|fc033-d089.stage.vpn.sse.cisco.com|fc034-d089.stage.vpn.sse.cisco.com|fc035-d089.stage.vpn.sse.cisco.com|fc036-d089.stage.vpn.sse.cisco.com|fc037-d089.stage.vpn.sse.cisco.com|fc038-d089.stage.vpn.sse.cisco.com|fc039-d089.stage.vpn.sse.cisco.com|fc040-d089.stage.vpn.sse.cisco.com|fc041-d089.stage.vpn.sse.cisco.com|fc042-d089.stage.vpn.sse.cisco.com|fc043-d089.stage.vpn.sse.cisco.com|fc044-d089.stage.vpn.sse.cisco.com|fc045-d089.stage.vpn.sse.cisco.com|fc046-d089.stage.vpn.sse.cisco.com|fc047-d089.stage.vpn.sse.cisco.com|fc048-d089.stage.vpn.sse.cisco.com|fc049-d089.stage.vpn.sse.cisco.com|us-east-1-d089.stage.vpn.sse.cisco.com","","false"
"13.218.8.30","transcriptor.dapperlatam.com","","","","","transcriptor.dapperlatam.com","","false"
"13.218.8.33","*.us-east-1.es.amazonaws.com","","","","","*.us-east-1.es.amazonaws.com|*.cell-01.us-east-1.es.amazonaws.com","","false"
"13.218.8.38","*.streaming.appstream2-gamma.us-east-1.on.aws","","","","","*.streaming.appstream2-gamma.us-east-1.on.aws|*.vpce-svc-08a76cc9176c16c48.us-east-1.vpce.amazonaws.com|*.workspacespool.dcv-gamma.us-east-1.on.aws|*.streaming.us-east-1.appstream2-gamma.amazonaws.com|*.appstream-gamma.amazonaws.com|*.workspacespool-fips.gamma.us-east-1.highlander.aws.a2z.com|*.workspacespool.gamma.us-east-1.highlander.aws.a2z.com|*.streaming.us-east-1.appstream2-gamma-fips.amazonaws.com|*.us-east-1.appstream-gamma.amazonaws.com|*.workspacespool-fips.dcv-gamma.us-east-1.on.aws|*.streaming.appstream2-gamma-fips.us-east-1.on.aws","","false"
