IP Address,Common Name,Organization,Country,Locality,Province,Subject Alternative DNS Name,Subject Alternative IP address,Self-signed
"44.235.11.85","*.warnerpacific.com","Warner Pacific Insurance Services Inc.","US","Westlake Village","California","*.warnerpacific.com|warnerpacific.com","","false"
"44.235.11.66","mahercpa.com","","","","","mahercpa.com|wp.mahercpa.com|www.mahercpa.com|www.wp.mahercpa.com","","false"
"44.235.11.83","evald-moi.bwc.brother.co.jp","BROTHER INDUSTRIES, LTD.","JP","Nagoya-Shi","Aichi","evald-moi.bwc.brother.co.jp","","false"
"44.235.10.223","*.jungointegrations.com","JUNGO INC.","US","San Diego","California","*.jungointegrations.com|jungointegrations.com","","false"
"44.235.11.105","*.pltsci-test.com","","","","","*.pltsci-test.com","","false"
"44.235.11.107","app.mightyid.com","","","","","app.mightyid.com","","false"
"44.235.11.108","*.servers.getgo.com","","","","","*.servers.getgo.com","","false"
"44.235.11.118","*.s.n.srv.nintendo.net","","","","","*.s.n.srv.nintendo.net","","false"
"44.235.11.125","*.campaign.adobe.com","Adobe Inc.","US","San Jose","California","*.campaign.adobe.com","","false"
"44.235.11.138","prod-use1-ee-dr.rpaworker.com","","","","","prod-use1-ee-dr.rpaworker.com|*.prod-use1-ee-dr.rpaworker.com","","false"
"44.235.11.143","*.laxsmartparking.com","","","","","*.laxsmartparking.com","","false"
"44.235.11.148","*.colleague.elluciancloud.com","Ellucian Company L.P.","US","Reston","Virginia","*.colleague.elluciancloud.com|colleague.elluciancloud.com","","false"
"44.235.11.157","runner.trycortex.ai","","","","","runner.trycortex.ai","","false"
"44.235.11.176","*.onseen.com","","","","","*.onseen.com","","false"
"44.235.11.179","*","","","","","","","true"
"44.235.11.181","kube-apiserver","","","","","7610198def546dec1ee3e8b555d78c46.gr7.us-west-2.eks.amazonaws.com|ip-172-16-41-113.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.3.0|172.16.41.113","false"
"44.235.11.185","kube-apiserver","","","","","c48c95233b318ab059d9e2ee6b37222d.gr7.us-west-2.eks.amazonaws.com|ip-10-0-121-1.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.30.1.130|10.0.121.1","false"
"44.235.11.177","kube-apiserver","","","","","cc8aeec899f517a969ad41c820d4c2d7.gr7.us-west-2.eks.amazonaws.com|ip-172-16-102-141.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.2.104|172.16.102.141","false"
"44.235.11.196","staging.gatekeeper.us-abc.symphony.edgedatg.com","","","","","staging.gatekeeper.us-abc.symphony.edgedatg.com|*.api.presentation.watchabc.go.com|*.api.entitlement.watchabc.go.com|*.api.telemetry.watchabc.go.com|*.api.pluto.watchabc.go.com|*.api.syndication.watchabc.go.com|*.api.presentation.abc.go.com|*.api.config.watchabc.go.com|*.staging.gatekeeper.us-abc.symphony.edgedatg.go.com|*.api.ads.watchabc.go.com|*.api.utils.watchabc.go.com|*.api.contents.watchabc.go.com|*.api.profile.abc.go.com|staging.gatekeeper.us-abc.symphony.edgedatg.go.com|*.staging.gatekeeper.us-abc.symphony.edgedatg.com|*.api.partners.abc.com","","false"
"44.235.11.192","*.adobecqms.net","","","","","*.adobecqms.net","","false"
"44.235.11.204","ib2by.com","","","","","ib2by.com|*.ib2by.com","","false"
"44.235.11.209","control.developer-tyler-dev.preprod.a.momentohq.com","","","","","control.developer-tyler-dev.preprod.a.momentohq.com|web.control.developer-tyler-dev.preprod.a.momentohq.com","","false"
"44.235.11.220","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com","","false"
"44.235.11.233","mc.batch.us-west-2.amazonaws.com","","","","","mc.batch.us-west-2.amazonaws.com","","false"
"44.235.11.235","*.rendever.com","","","","","*.rendever.com","","false"
"44.235.11.238","*.tractmanager.com","Symplr Software LLC","US","Houston","Texas","*.tractmanager.com|tractmanager.com","","false"
"44.235.11.249","*.cloud.infor.com","Infor, US LLC","US","","New York","*.cloud.infor.com|cloud.infor.com","","false"
"44.235.12.0","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com|*.cell-01.us-west-2.es.amazonaws.com","","false"
"44.235.12.1","*.snow-companies.com","Snow Companies, LLC","US","","Virginia","*.snow-companies.com|snow-companies.com","","false"
"44.235.12.16","emtee.co","","","","","emtee.co","","false"
"44.235.12.17","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com","","false"
"44.235.12.29","kube-apiserver","","","","","0b70386076948509b73bed8304b83263.gr7.us-west-2.eks.amazonaws.com|ip-172-16-188-180.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.54.1.77|172.16.188.180","false"
"44.235.12.33","example.com","","","","","","","true"
"44.235.12.39","*.imedidata.net","Medidata Solutions, Inc","US","New York","New York","*.imedidata.net|imedidata.net","","false"
"44.235.12.42","iptv.stlcitysc.com","tkfc lc","US","St. Louis","Missouri","iptv.stlcitysc.com","","false"
"44.235.12.49","*.execute-api.us-west-2.amazonaws.com","","","","","*.execute-api.us-west-2.amazonaws.com","","false"
"44.235.12.66","*.poppcore.us","","","","","*.poppcore.us","","false"
"44.235.12.64","*.parchment.com","","","","","*.parchment.com|parchment.com","","false"
"44.235.12.74","*.38l8cpgq4co8u.prepin.leo.lightsail.ec2.aws.dev","","","","","*.38l8cpgq4co8u.prepin.leo.lightsail.ec2.aws.dev","","false"
"44.235.12.83","*.northstarhome.com","","","","","*.northstarhome.com","","false"
"44.235.12.82","secret-wiki.bullocm.people.aws.dev","","","","","secret-wiki.bullocm.people.aws.dev","","false"
"44.235.12.89","kube-apiserver","","","","","440a68c60343caa3f5798ccfbf9fca87.gr7.us-west-2.eks.amazonaws.com|ip-10-0-60-151.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|172.31.20.115|10.0.60.151","false"
"44.235.12.90","tipsbio.com","","","","","tipsbio.com|*.tipsbio.com","","false"
"44.235.12.101","kube-apiserver","","","","","f27e0d7a01f57bbd68a454d1a4ffc48c.gr7.us-west-2.eks.amazonaws.com|ip-10-0-104-148.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.168.165.116|10.0.104.148","false"
"44.235.12.112","*.companykitchen.com","Treat America Limited","US","Merriam","Kansas","*.companykitchen.com|companykitchen.com","","false"
"44.235.12.110","*.jellydevs.com","","","","","*.jellydevs.com","","false"
"44.235.12.115","*.zyom.com","Zyom Inc.","US","Danville","California","*.zyom.com|zyom.com","","false"
"44.235.12.119","app.jumafit.com","","","","","app.jumafit.com","","false"
"44.235.12.122","api.ptc.connor-data.com","","","","","api.ptc.connor-data.com|www.api.ptc.connor-data.com","","false"
"44.235.12.135","images.emailonacid.com","","","","","images.emailonacid.com","","false"
"44.235.12.137","magento-ds.com","","","","","magento-ds.com|*.magento-ds.com|www.magento-ds.com|*.stage.magento-ds.com","","false"
"44.235.12.136","auth.staging.omnivector.solutions","","","","","auth.staging.omnivector.solutions","","false"
"44.235.12.146","*.myndyou.care","","","","","*.myndyou.care","","false"
"44.235.12.145","*.gsuca.com","","","","","*.gsuca.com|gsuca.com","","false"
"44.235.12.143","*.hood.cloudgenix.com","","","","","*.hood.cloudgenix.com|hood.cloudgenix.com","","false"
"44.235.12.160","kube-apiserver","","","","","0da39799816c740bfed9a248b9e525d7.gr7.us-west-2.eks.amazonaws.com|ip-10-0-105-20.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","10.100.0.1|192.169.77.177|10.0.105.20","false"
"44.235.12.162","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com|*.cell-01.us-west-2.es.amazonaws.com","","false"
"44.235.12.170","ar-bbprocessstg01.cartus.com","","","","","ar-bbprocessstg01.cartus.com","","false"
"44.235.12.175","*.mentor.com","","","","","*.mentor.com|*.account.mentor.com|*.support.mentor.com|*.timetrack.mentor.com","","false"
"44.235.12.169","*.servpro.io","","","","","*.servpro.io","","false"
"44.235.12.173","awstst.onprem.datafold.com","","","","","awstst.onprem.datafold.com","","false"
"44.235.12.179","CloudFlare Origin Certificate","CloudFlare, Inc.","","","","*.udacity.com|berlioz.udacity.com","","false"
"44.235.12.182","fotoaxe.com","","","","","fotoaxe.com|*.fotoaxe.com","","false"
"44.235.12.180","*.ncm.public.aws.cradlepointecm.com","","","","","*.ncm.public.aws.cradlepointecm.com|ncm.public.aws.cradlepointecm.com","","false"
"44.235.12.189","*.fanheat.com","","","","","*.fanheat.com","","false"
"44.235.12.203","*.calix.com","Calix, Inc.","US","San Jose","California","*.calix.com|calix.com","","false"
"44.235.12.201","EC2AMAZ-4J7U32U.example.com","","","","","EC2AMAZ-4J7U32U.example.com","","true"
"44.235.12.215","*.forsalebyowner.com","","","","","*.forsalebyowner.com|forsalebyowner.com","","false"
"44.235.12.219","*.portal.fenixcommerce.com","","","","","*.portal.fenixcommerce.com|portal.fenixcommerce.com","","false"
"44.235.12.220","*.us-west-2.es.amazonaws.com","","","","","*.us-west-2.es.amazonaws.com","","false"
"44.235.12.226","*.aornp.creditlens.moodysanalytics.com","Moody's Corporation","US","New York","New York","*.aornp.creditlens.moodysanalytics.com|aornp.creditlens.moodysanalytics.com|*.asynp.creditlens.moodysanalytics.com|*.airnp.creditlens.moodysanalytics.com","","false"
"44.235.12.224","*.stg.treez.io","","","","","*.stg.treez.io|stg.treez.io|treez.io","","false"
"44.235.12.228","treatment-service.dev.valant.io","","","","","treatment-service.dev.valant.io","","false"
"44.235.12.225","*.main.intelligent-kowalevski.cribl.cloud","","","","","*.main.intelligent-kowalevski.cribl.cloud|in.logstream.intelligent-kowalevski.cribl.cloud|in.main-default-intelligent-kowalevski.cribl.cloud|logstream-intelligent-kowalevski.cribl.cloud|logstream.intelligent-kowalevski.cribl.cloud|main-intelligent-kowalevski.cribl.cloud","","false"
"44.235.12.231","mcprod.as98.net","Magento Cloud","FR","","","","","true"
"44.235.12.233","www.12betpro.com","","","","","www.12betpro.com","","false"
"44.235.12.244","kube-apiserver","","","","","e85eefad52a0c8873305ad037708d462.yl4.us-west-2.eks.amazonaws.com|ip-172-16-113-90.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.10.82.138|172.16.113.90","false"
"44.235.12.243","kube-apiserver","","","","","ee7c2bebe2c46e29c3e2b2bfbde09abf.gr7.us-west-2.eks.amazonaws.com|ip-172-16-105-92.us-west-2.compute.internal|kubernetes|kubernetes.default|kubernetes.default.svc|kubernetes.default.svc.cluster.local","172.20.0.1|10.0.155.149|172.16.105.92","false"
"44.235.12.245","dashaccess.doordash.red","","","","","dashaccess.doordash.red","","false"
"44.235.12.254","*.ondemand.vertexinc.com","Vertex, Inc.","US","King of Prussia","Pennsylvania","*.ondemand.vertexinc.com|ondemand.vertexinc.com","","false"
"44.235.13.1","*.icreditvisions.com","","","","","*.icreditvisions.com|icreditvisions.com","","false"
"44.235.13.7","*.stage-ehnusa.net","","","","","*.stage-ehnusa.net|*.ehnusa.net","","false"
"44.235.13.11","datapath-gateway-onboarding.ecf.amazon.dev","Amazon.com Inc.","US","Seattle","Washington","datapath-gateway-onboarding.ecf.amazon.dev|corp.datapath-gateway-onboarding.ecf.amazon.dev","","false"
